date,time,elevation
2023-01-02,12:30,2.083
2023-01-02,12:45,1.981
2023-01-02,13:00,1.918
2023-01-02,13:15,1.896
2023-01-02,13:30,1.907
2023-01-02,13:45,1.935
2023-01-02,14:00,1.979
2023-01-02,14:15,2.026
2023-01-02,14:30,2.079
2023-01-02,14:45,2.137
2023-01-02,15:00,2.188
2023-01-02,15:15,2.233
2023-01-02,15:30,2.273
2023-01-02,15:45,2.299
2023-01-02,16:00,2.336
2023-01-02,16:15,2.382
2023-01-02,16:30,2.454
2023-01-02,16:45,2.552
2023-01-02,17:00,2.674
2023-01-02,17:15,2.809
2023-01-02,17:30,2.955
2023-01-02,17:45,3.101
2023-01-02,18:00,3.255
2023-01-02,18:15,3.418
2023-01-02,18:30,3.583
2023-01-02,18:45,3.742
2023-01-02,19:00,3.885
2023-01-02,19:15,4.007
2023-01-02,19:30,4.085
2023-01-02,19:45,4.133
2023-01-02,20:00,4.15
2023-01-02,20:15,4.146
2023-01-02,20:30,4.128
2023-01-02,20:45,4.111
2023-01-02,21:00,4.096
2023-01-02,21:15,4.079
2023-01-02,21:30,4.058
2023-01-02,21:45,4.019
2023-01-02,22:00,3.958
2023-01-02,22:15,3.872
2023-01-02,22:30,3.768
2023-01-02,22:45,3.641
2023-01-02,23:00,3.493
2023-01-02,23:15,3.319
2023-01-02,23:30,3.129
2023-01-02,23:45,2.929
2023-01-03,0:00,2.724
2023-01-03,0:15,2.523
2023-01-03,0:30,2.346
2023-01-03,0:45,2.193
2023-01-03,1:00,2.072
2023-01-03,1:15,1.983
2023-01-03,1:30,1.94
2023-01-03,1:45,1.936
2023-01-03,2:00,1.973
2023-01-03,2:15,2.041
2023-01-03,2:30,2.114
2023-01-03,2:45,2.199
2023-01-03,3:00,2.275
2023-01-03,3:15,2.342
2023-01-03,3:30,2.402
2023-01-03,3:45,2.457
2023-01-03,4:00,2.514
2023-01-03,4:15,2.568
2023-01-03,4:30,2.627
2023-01-03,4:45,2.687
2023-01-03,5:00,2.763
2023-01-03,5:15,2.854
2023-01-03,5:30,2.973
2023-01-03,5:45,3.113
2023-01-03,6:00,3.273
2023-01-03,6:15,3.442
2023-01-03,6:30,3.615
2023-01-03,6:45,3.787
2023-01-03,7:00,3.95
2023-01-03,7:15,4.102
2023-01-03,7:30,4.24
2023-01-03,7:45,4.353
2023-01-03,8:00,4.451
2023-01-03,8:15,4.518
2023-01-03,8:30,4.554
2023-01-03,8:45,4.559
2023-01-03,9:00,4.54
2023-01-03,9:15,4.506
2023-01-03,9:30,4.468
2023-01-03,9:45,4.434
2023-01-03,10:00,4.401
2023-01-03,10:15,4.355
2023-01-03,10:30,4.286
2023-01-03,10:45,4.186
2023-01-03,11:00,4.054
2023-01-03,11:15,3.891
2023-01-03,11:30,3.708
2023-01-03,11:45,3.51
2023-01-03,12:00,3.301
2023-01-03,12:15,3.082
2023-01-03,12:30,2.861
2023-01-03,12:45,2.635
2023-01-03,13:00,2.422
2023-01-03,13:15,2.236
2023-01-03,13:30,2.084
2023-01-03,13:45,1.981
2023-01-03,14:00,1.917
2023-01-03,14:15,1.901
2023-01-03,14:30,1.93
2023-01-03,14:45,1.994
2023-01-03,15:00,2.066
2023-01-03,15:15,2.138
2023-01-03,15:30,2.194
2023-01-03,15:45,2.253
2023-01-03,16:00,2.3
2023-01-03,16:15,2.348
2023-01-03,16:30,2.394
2023-01-03,16:45,2.444
2023-01-03,17:00,2.49
2023-01-03,17:15,2.543
2023-01-03,17:30,2.623
2023-01-03,17:45,2.725
2023-01-03,18:00,2.847
2023-01-03,18:15,2.987
2023-01-03,18:30,3.141
2023-01-03,18:45,3.304
2023-01-03,19:00,3.461
2023-01-03,19:15,3.622
2023-01-03,19:30,3.776
2023-01-03,19:45,3.914
2023-01-03,20:00,4.017
2023-01-03,20:15,4.089
2023-01-03,20:30,4.121
2023-01-03,20:45,4.119
2023-01-03,21:00,4.097
2023-01-03,21:15,4.062
2023-01-03,21:30,4.013
2023-01-03,21:45,3.964
2023-01-03,22:00,3.922
2023-01-03,22:15,3.895
2023-01-03,22:30,3.875
2023-01-03,22:45,3.843
2023-01-03,23:00,3.789
2023-01-03,23:15,3.696
2023-01-03,23:30,3.58
2023-01-03,23:45,3.431
2023-01-04,0:00,3.265
2023-01-04,0:15,3.078
2023-01-04,0:30,2.882
2023-01-04,0:45,2.688
2023-01-04,1:00,2.485
2023-01-04,1:15,2.29
2023-01-04,1:30,2.125
2023-01-04,1:45,1.992
2023-01-04,2:00,1.885
2023-01-04,2:15,1.837
2023-01-04,2:30,1.813
2023-01-04,2:45,1.82
2023-01-04,3:00,1.865
2023-01-04,3:15,1.923
2023-01-04,3:30,1.971
2023-01-04,3:45,2.022
2023-01-04,4:00,2.07
2023-01-04,4:15,2.115
2023-01-04,4:30,2.162
2023-01-04,4:45,2.205
2023-01-04,5:00,2.258
2023-01-04,5:15,2.304
2023-01-04,5:30,2.368
2023-01-04,5:45,2.456
2023-01-04,6:00,2.577
2023-01-04,6:15,2.724
2023-01-04,6:30,2.884
2023-01-04,6:45,3.059
2023-01-04,7:00,3.24
2023-01-04,7:15,3.425
2023-01-04,7:30,3.609
2023-01-04,7:45,3.786
2023-01-04,8:00,3.946
2023-01-04,8:15,4.095
2023-01-04,8:30,4.215
2023-01-04,8:45,4.319
2023-01-04,9:00,4.401
2023-01-04,9:15,4.455
2023-01-04,9:30,4.466
2023-01-04,9:45,4.444
2023-01-04,10:00,4.384
2023-01-04,10:15,4.314
2023-01-04,10:30,4.264
2023-01-04,10:45,4.229
2023-01-04,11:00,4.205
2023-01-04,11:15,4.163
2023-01-04,11:30,4.081
2023-01-04,11:45,3.951
2023-01-04,12:00,3.782
2023-01-04,12:15,3.594
2023-01-04,12:30,3.391
2023-01-04,12:45,3.18
2023-01-04,13:00,2.963
2023-01-04,13:15,2.738
2023-01-04,13:30,2.519
2023-01-04,13:45,2.304
2023-01-04,14:00,2.122
2023-01-04,14:15,1.977
2023-01-04,14:30,1.873
2023-01-04,14:45,1.801
2023-01-04,15:00,1.76
2023-01-04,15:15,1.739
2023-01-04,15:30,1.751
2023-01-04,15:45,1.81
2023-01-04,16:00,1.884
2023-01-04,16:15,1.972
2023-01-04,16:30,2.05
2023-01-04,16:45,2.103
2023-01-04,17:00,2.144
2023-01-04,17:15,2.175
2023-01-04,17:30,2.214
2023-01-04,17:45,2.271
2023-01-04,18:00,2.345
2023-01-04,18:15,2.439
2023-01-04,18:30,2.564
2023-01-04,18:45,2.7
2023-01-04,19:00,2.857
2023-01-04,19:15,3.019
2023-01-04,19:30,3.188
2023-01-04,19:45,3.361
2023-01-04,20:00,3.546
2023-01-04,20:15,3.733
2023-01-04,20:30,3.917
2023-01-04,20:45,4.096
2023-01-04,21:00,4.242
2023-01-04,21:15,4.358
2023-01-04,21:30,4.428
2023-01-04,21:45,4.463
2023-01-04,22:00,4.466
2023-01-04,22:15,4.445
2023-01-04,22:30,4.425
2023-01-04,22:45,4.404
2023-01-04,23:00,4.384
2023-01-04,23:15,4.358
2023-01-04,23:30,4.319
2023-01-04,23:45,4.243
2023-01-05,0:00,4.14
2023-01-05,0:15,4
2023-01-05,0:30,3.832
2023-01-05,0:45,3.637
2023-01-05,1:00,3.425
2023-01-05,1:15,3.194
2023-01-05,1:30,2.956
2023-01-05,1:45,2.704
2023-01-05,2:00,2.455
2023-01-05,2:15,2.225
2023-01-05,2:30,2.025
2023-01-05,2:45,1.866
2023-01-05,3:00,1.761
2023-01-05,3:15,1.716
2023-01-05,3:30,1.727
2023-01-05,3:45,1.779
2023-01-05,4:00,1.852
2023-01-05,4:15,1.941
2023-01-05,4:30,2.032
2023-01-05,4:45,2.118
2023-01-05,5:00,2.206
2023-01-05,5:15,2.285
2023-01-05,5:30,2.359
2023-01-05,5:45,2.421
2023-01-05,6:00,2.472
2023-01-05,6:15,2.518
2023-01-05,6:30,2.573
2023-01-05,6:45,2.652
2023-01-05,7:00,2.764
2023-01-05,7:15,2.913
2023-01-05,7:30,3.076
2023-01-05,7:45,3.255
2023-01-05,8:00,3.434
2023-01-05,8:15,3.619
2023-01-05,8:30,3.803
2023-01-05,8:45,3.985
2023-01-05,9:00,4.155
2023-01-05,9:15,4.309
2023-01-05,9:30,4.433
2023-01-05,9:45,4.509
2023-01-05,10:00,4.557
2023-01-05,10:15,4.574
2023-01-05,10:30,4.566
2023-01-05,10:45,4.547
2023-01-05,11:00,4.516
2023-01-05,11:15,4.478
2023-01-05,11:30,4.436
2023-01-05,11:45,4.386
2023-01-05,12:00,4.331
2023-01-05,12:15,4.245
2023-01-05,12:30,4.124
2023-01-05,12:45,3.955
2023-01-05,13:00,3.754
2023-01-05,13:15,3.521
2023-01-05,13:30,3.273
2023-01-05,13:45,3.002
2023-01-05,14:00,2.73
2023-01-05,14:15,2.45
2023-01-05,14:30,2.185
2023-01-05,14:45,1.945
2023-01-05,15:00,1.75
2023-01-05,15:15,1.606
2023-01-05,15:30,1.525
2023-01-05,15:45,1.503
2023-01-05,16:00,1.533
2023-01-05,16:15,1.596
2023-01-05,16:30,1.677
2023-01-05,16:45,1.762
2023-01-05,17:00,1.855
2023-01-05,17:15,1.94
2023-01-05,17:30,2.022
2023-01-05,17:45,2.104
2023-01-05,18:00,2.182
2023-01-05,18:15,2.25
2023-01-05,18:30,2.306
2023-01-05,18:45,2.361
2023-01-05,19:00,2.427
2023-01-05,19:15,2.523
2023-01-05,19:30,2.648
2023-01-05,19:45,2.807
2023-01-05,20:00,2.983
2023-01-05,20:15,3.166
2023-01-05,20:30,3.352
2023-01-05,20:45,3.541
2023-01-05,21:00,3.732
2023-01-05,21:15,3.906
2023-01-05,21:30,4.072
2023-01-05,21:45,4.215
2023-01-05,22:00,4.342
2023-01-05,22:15,4.428
2023-01-05,22:30,4.488
2023-01-05,22:45,4.498
2023-01-05,23:00,4.476
2023-01-05,23:15,4.428
2023-01-05,23:30,4.383
2023-01-05,23:45,4.349
2023-01-06,0:00,4.322
2023-01-06,0:15,4.291
2023-01-06,0:30,4.248
2023-01-06,0:45,4.159
2023-01-06,1:00,4.018
2023-01-06,1:15,3.835
2023-01-06,1:30,3.619
2023-01-06,1:45,3.391
2023-01-06,2:00,3.135
2023-01-06,2:15,2.863
2023-01-06,2:30,2.578
2023-01-06,2:45,2.298
2023-01-06,3:00,2.026
2023-01-06,3:15,1.792
2023-01-06,3:30,1.624
2023-01-06,3:45,1.528
2023-01-06,4:00,1.494
2023-01-06,4:15,1.517
2023-01-06,4:30,1.583
2023-01-06,4:45,1.678
2023-01-06,5:00,1.777
2023-01-06,5:15,1.874
2023-01-06,5:30,1.958
2023-01-06,5:45,2.037
2023-01-06,6:00,2.097
2023-01-06,6:15,2.156
2023-01-06,6:30,2.208
2023-01-06,6:45,2.259
2023-01-06,7:00,2.311
2023-01-06,7:15,2.375
2023-01-06,7:30,2.474
2023-01-06,7:45,2.603
2023-01-06,8:00,2.758
2023-01-06,8:15,2.932
2023-01-06,8:30,3.111
2023-01-06,8:45,3.303
2023-01-06,9:00,3.496
2023-01-06,9:15,3.69
2023-01-06,9:30,3.872
2023-01-06,9:45,4.044
2023-01-06,10:00,4.185
2023-01-06,10:15,4.3
2023-01-06,10:30,4.372
2023-01-06,10:45,4.415
2023-01-06,11:00,4.417
2023-01-06,11:15,4.382
2023-01-06,11:30,4.34
2023-01-06,11:45,4.288
2023-01-06,12:00,4.253
2023-01-06,12:15,4.217
2023-01-06,12:30,4.178
2023-01-06,12:45,4.11
2023-01-06,13:00,4.02
2023-01-06,13:15,3.891
2023-01-06,13:30,3.732
2023-01-06,13:45,3.536
2023-01-06,14:00,3.323
2023-01-06,14:15,3.078
2023-01-06,14:30,2.822
2023-01-06,14:45,2.546
2023-01-06,15:00,2.276
2023-01-06,15:15,2.028
2023-01-06,15:30,1.8
2023-01-06,15:45,1.631
2023-01-06,16:00,1.527
2023-01-06,16:15,1.483
2023-01-06,16:30,1.49
2023-01-06,16:45,1.545
2023-01-06,17:00,1.626
2023-01-06,17:15,1.721
2023-01-06,17:30,1.827
2023-01-06,17:45,1.944
2023-01-06,18:00,2.049
2023-01-06,18:15,2.14
2023-01-06,18:30,2.21
2023-01-06,18:45,2.268
2023-01-06,19:00,2.325
2023-01-06,19:15,2.39
2023-01-06,19:30,2.469
2023-01-06,19:45,2.574
2023-01-06,20:00,2.707
2023-01-06,20:15,2.863
2023-01-06,20:30,3.044
2023-01-06,20:45,3.239
2023-01-06,21:00,3.458
2023-01-06,21:15,3.674
2023-01-06,21:30,3.9
2023-01-06,21:45,4.123
2023-01-06,22:00,4.336
2023-01-06,22:15,4.523
2023-01-06,22:30,4.681
2023-01-06,22:45,4.805
2023-01-06,23:00,4.89
2023-01-06,23:15,4.939
2023-01-06,23:30,4.938
2023-01-06,23:45,4.904
2023-01-07,0:00,4.86
2023-01-07,0:15,4.83
2023-01-07,0:30,4.811
2023-01-07,0:45,4.797
2023-01-07,1:00,4.759
2023-01-07,1:15,4.672
2023-01-07,1:30,4.529
2023-01-07,1:45,4.342
2023-01-07,2:00,4.13
2023-01-07,2:15,3.902
2023-01-07,2:30,3.655
2023-01-07,2:45,3.396
2023-01-07,3:00,3.126
2023-01-07,3:15,2.857
2023-01-07,3:30,2.596
2023-01-07,3:45,2.361
2023-01-07,4:00,2.161
2023-01-07,4:15,2.01
2023-01-07,4:30,1.923
2023-01-07,4:45,1.909
2023-01-07,5:00,1.953
2023-01-07,5:15,2.039
2023-01-07,5:30,2.157
2023-01-07,5:45,2.278
2023-01-07,6:00,2.394
2023-01-07,6:15,2.504
2023-01-07,6:30,2.612
2023-01-07,6:45,2.705
2023-01-07,7:00,2.789
2023-01-07,7:15,2.854
2023-01-07,7:30,2.904
2023-01-07,7:45,2.95
2023-01-07,8:00,3.014
2023-01-07,8:15,3.109
2023-01-07,8:30,3.243
2023-01-07,8:45,3.407
2023-01-07,9:00,3.597
2023-01-07,9:15,3.8
2023-01-07,9:30,4.011
2023-01-07,9:45,4.21
2023-01-07,10:00,4.402
2023-01-07,10:15,4.57
2023-01-07,10:30,4.714
2023-01-07,10:45,4.819
2023-01-07,11:00,4.887
2023-01-07,11:15,4.904
2023-01-07,11:30,4.882
2023-01-07,11:45,4.816
2023-01-07,12:00,4.734
2023-01-07,12:15,4.654
2023-01-07,12:30,4.585
2023-01-07,12:45,4.548
2023-01-07,13:00,4.52
2023-01-07,13:15,4.48
2023-01-07,13:30,4.395
2023-01-07,13:45,4.245
2023-01-07,14:00,4.048
2023-01-07,14:15,3.818
2023-01-07,14:30,3.563
2023-01-07,14:45,3.303
2023-01-07,15:00,3.032
2023-01-07,15:15,2.756
2023-01-07,15:30,2.456
2023-01-07,15:45,2.173
2023-01-07,16:00,1.924
2023-01-07,16:15,1.726
2023-01-07,16:30,1.61
2023-01-07,16:45,1.561
2023-01-07,17:00,1.544
2023-01-07,17:15,1.552
2023-01-07,17:30,1.546
2023-01-07,17:45,1.577
2023-01-07,18:00,1.692
2023-01-07,18:15,1.81
2023-01-07,18:30,1.923
2023-01-07,18:45,2.016
2023-01-07,19:00,2.076
2023-01-07,19:15,2.062
2023-01-07,19:30,2.033
2023-01-07,19:45,2.077
2023-01-07,20:00,2.189
2023-01-07,20:15,2.335
2023-01-07,20:30,2.491
2023-01-07,20:45,2.68
2023-01-07,21:00,2.864
2023-01-07,21:15,3.058
2023-01-07,21:30,3.278
2023-01-07,21:45,3.508
2023-01-07,22:00,3.746
2023-01-07,22:15,3.992
2023-01-07,22:30,4.191
2023-01-07,22:45,4.368
2023-01-07,23:00,4.501
2023-01-07,23:15,4.591
2023-01-07,23:30,4.651
2023-01-07,23:45,4.66
2023-01-08,0:00,4.633
2023-01-08,0:15,4.578
2023-01-08,0:30,4.53
2023-01-08,0:45,4.509
2023-01-08,1:00,4.513
2023-01-08,1:15,4.517
2023-01-08,1:30,4.494
2023-01-08,1:45,4.426
2023-01-08,2:00,4.284
2023-01-08,2:15,4.097
2023-01-08,2:30,3.896
2023-01-08,2:45,3.689
2023-01-08,3:00,3.47
2023-01-08,3:15,3.226
2023-01-08,3:30,2.982
2023-01-08,3:45,2.727
2023-01-08,4:00,2.469
2023-01-08,4:15,2.241
2023-01-08,4:30,2.051
2023-01-08,4:45,1.882
2023-01-08,5:00,1.795
2023-01-08,5:15,1.756
2023-01-08,5:30,1.818
2023-01-08,5:45,1.937
2023-01-08,6:00,2.04
2023-01-08,6:15,2.128
2023-01-08,6:30,2.233
2023-01-08,6:45,2.31
2023-01-08,7:00,2.385
2023-01-08,7:15,2.472
2023-01-08,7:30,2.538
2023-01-08,7:45,2.587
2023-01-08,8:00,2.633
2023-01-08,8:15,2.688
2023-01-08,8:30,2.759
2023-01-08,8:45,2.886
2023-01-08,9:00,3.032
2023-01-08,9:15,3.224
2023-01-08,9:30,3.42
2023-01-08,9:45,3.645
2023-01-08,10:00,3.869
2023-01-08,10:15,4.088
2023-01-08,10:30,4.296
2023-01-08,10:45,4.49
2023-01-08,11:00,4.651
2023-01-08,11:15,4.781
2023-01-08,11:30,4.871
2023-01-08,11:45,4.928
2023-01-08,12:00,4.924
2023-01-08,12:15,4.883
2023-01-08,12:30,4.83
2023-01-08,12:45,4.751
2023-01-08,13:00,4.688
2023-01-08,13:15,4.64
2023-01-08,13:30,4.587
2023-01-08,13:45,4.53
2023-01-08,14:00,4.439
2023-01-08,14:15,4.295
2023-01-08,14:30,4.113
2023-01-08,14:45,3.902
2023-01-08,15:00,3.693
2023-01-08,15:15,3.447
2023-01-08,15:30,3.201
2023-01-08,15:45,2.953
2023-01-08,16:00,2.675
2023-01-08,16:15,2.408
2023-01-08,16:30,2.151
2023-01-08,16:45,1.894
2023-01-08,17:00,1.685
2023-01-08,17:15,1.538
2023-01-08,17:30,1.481
2023-01-08,17:45,1.489
2023-01-08,18:00,1.58
2023-01-08,18:15,1.696
2023-01-08,18:30,1.806
2023-01-08,18:45,1.904
2023-01-08,19:00,2.01
2023-01-08,19:15,2.093
2023-01-08,19:30,2.18
2023-01-08,19:45,2.264
2023-01-08,20:00,2.331
2023-01-08,20:15,2.388
2023-01-08,20:30,2.456
2023-01-08,20:45,2.54
2023-01-08,21:00,2.656
2023-01-08,21:15,2.809
2023-01-08,21:30,2.987
2023-01-08,21:45,3.205
2023-01-08,22:00,3.417
2023-01-08,22:15,3.666
2023-01-08,22:30,3.91
2023-01-08,22:45,4.131
2023-01-08,23:00,4.325
2023-01-08,23:15,4.444
2023-01-08,23:30,4.553
2023-01-08,23:45,4.632
2023-01-09,0:00,4.718
2023-01-09,0:15,4.792
2023-01-09,0:30,4.827
2023-01-09,0:45,4.806
2023-01-09,1:00,4.745
2023-01-09,1:15,4.682
2023-01-09,1:30,4.646
2023-01-09,1:45,4.654
2023-01-09,2:00,4.682
2023-01-09,2:15,4.674
2023-01-09,2:30,4.587
2023-01-09,2:45,4.418
2023-01-09,3:00,4.189
2023-01-09,3:15,3.953
2023-01-09,3:30,3.701
2023-01-09,3:45,3.443
2023-01-09,4:00,3.164
2023-01-09,4:15,2.88
2023-01-09,4:30,2.593
2023-01-09,4:45,2.332
2023-01-09,5:00,2.108
2023-01-09,5:15,1.927
2023-01-09,5:30,1.816
2023-01-09,5:45,1.766
2023-01-09,6:00,1.791
2023-01-09,6:15,1.861
2023-01-09,6:30,1.946
2023-01-09,6:45,2.041
2023-01-09,7:00,2.146
2023-01-09,7:15,2.264
2023-01-09,7:30,2.387
2023-01-09,7:45,2.501
2023-01-09,8:00,2.584
2023-01-09,8:15,2.633
2023-01-09,8:30,2.637
2023-01-09,8:45,2.634
2023-01-09,9:00,2.664
2023-01-09,9:15,2.747
2023-01-09,9:30,2.895
2023-01-09,9:45,3.071
2023-01-09,10:00,3.269
2023-01-09,10:15,3.476
2023-01-09,10:30,3.679
2023-01-09,10:45,3.886
2023-01-09,11:00,4.094
2023-01-09,11:15,4.281
2023-01-09,11:30,4.447
2023-01-09,11:45,4.58
2023-01-09,12:00,4.684
2023-01-09,12:15,4.744
2023-01-09,12:30,4.766
2023-01-09,12:45,4.753
2023-01-09,13:00,4.711
2023-01-09,13:15,4.642
2023-01-09,13:30,4.574
2023-01-09,13:45,4.518
2023-01-09,14:00,4.486
2023-01-09,14:15,4.465
2023-01-09,14:30,4.425
2023-01-09,14:45,4.334
2023-01-09,15:00,4.167
2023-01-09,15:15,3.941
2023-01-09,15:30,3.687
2023-01-09,15:45,3.415
2023-01-09,16:00,3.135
2023-01-09,16:15,2.84
2023-01-09,16:30,2.539
2023-01-09,16:45,2.222
2023-01-09,17:00,1.935
2023-01-09,17:15,1.672
2023-01-09,17:30,1.478
2023-01-09,17:45,1.348
2023-01-09,18:00,1.299
2023-01-09,18:15,1.334
2023-01-09,18:30,1.419
2023-01-09,18:45,1.534
2023-01-09,19:00,1.643
2023-01-09,19:15,1.755
2023-01-09,19:30,1.858
2023-01-09,19:45,1.969
2023-01-09,20:00,2.074
2023-01-09,20:15,2.165
2023-01-09,20:30,2.236
2023-01-09,20:45,2.289
2023-01-09,21:00,2.312
2023-01-09,21:15,2.351
2023-01-09,21:30,2.412
2023-01-09,21:45,2.524
2023-01-09,22:00,2.682
2023-01-09,22:15,2.867
2023-01-09,22:30,3.063
2023-01-09,22:45,3.263
2023-01-09,23:00,3.462
2023-01-09,23:15,3.666
2023-01-09,23:30,3.874
2023-01-09,23:45,4.061
2023-01-10,0:00,4.238
2023-01-10,0:15,4.371
2023-01-10,0:30,4.458
2023-01-10,0:45,4.504
2023-01-10,1:00,4.516
2023-01-10,1:15,4.515
2023-01-10,1:30,4.494
2023-01-10,1:45,4.469
2023-01-10,2:00,4.443
2023-01-10,2:15,4.423
2023-01-10,2:30,4.406
2023-01-10,2:45,4.383
2023-01-10,3:00,4.325
2023-01-10,3:15,4.202
2023-01-10,3:30,4.015
2023-01-10,3:45,3.792
2023-01-10,4:00,3.543
2023-01-10,4:15,3.274
2023-01-10,4:30,2.987
2023-01-10,4:45,2.693
2023-01-10,5:00,2.396
2023-01-10,5:15,2.113
2023-01-10,5:30,1.857
2023-01-10,5:45,1.658
2023-01-10,6:00,1.542
2023-01-10,6:15,1.507
2023-01-10,6:30,1.543
2023-01-10,6:45,1.621
2023-01-10,7:00,1.72
2023-01-10,7:15,1.841
2023-01-10,7:30,1.977
2023-01-10,7:45,2.112
2023-01-10,8:00,2.243
2023-01-10,8:15,2.366
2023-01-10,8:30,2.473
2023-01-10,8:45,2.549
2023-01-10,9:00,2.613
2023-01-10,9:15,2.668
2023-01-10,9:30,2.725
2023-01-10,9:45,2.811
2023-01-10,10:00,2.928
2023-01-10,10:15,3.082
2023-01-10,10:30,3.246
2023-01-10,10:45,3.429
2023-01-10,11:00,3.614
2023-01-10,11:15,3.802
2023-01-10,11:30,3.999
2023-01-10,11:45,4.185
2023-01-10,12:00,4.353
2023-01-10,12:15,4.484
2023-01-10,12:30,4.579
2023-01-10,12:45,4.638
2023-01-10,13:00,4.674
2023-01-10,13:15,4.689
2023-01-10,13:30,4.685
2023-01-10,13:45,4.644
2023-01-10,14:00,4.585
2023-01-10,14:15,4.51
2023-01-10,14:30,4.453
2023-01-10,14:45,4.41
2023-01-10,15:00,4.374
2023-01-10,15:15,4.309
2023-01-10,15:30,4.197
2023-01-10,15:45,4.022
2023-01-10,16:00,3.809
2023-01-10,16:15,3.563
2023-01-10,16:30,3.302
2023-01-10,16:45,3.027
